,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
80,Heróis da TV,16,4,O homem que explodia,Capitão Marvel,"Capitão Marvel Rick Jones Nitro Mordecai Boggs Homem de Ferro Rachel ""Dandy"" Dandridge Miss Marvel Mentor Drax O Destruidor Kronos Serpente da Lua Starfox Lou-Ann Savannah Visão II
Argumento: Jim Starlin Steve Englehart - ‘John Harkness’ Roteiro: Steve Englehart - ‘John Harkness’ Desenho: Jim Starlin Arte-Final: Jack Abel Tradutor: Helcio de Carvalho Beatriz Malamud Editor original: Roy Thomas
Publicada originalmente em  Captain Marvel (1968) n° 34/1974 - Marvel Comics
       
Título original americano: “Blown away!”.",Captain Marvel,34,1974,Steve Englehart - ‘John Harkness’,Jim Starlin,NA
81,Heróis da TV,16,5,Entre a vida e a morte,Capitão Marvel,"Capitão Marvel Homem-Formiga Vespa Rick Jones Mordecai Boggs Legião Lunática Aniquilador Miss Marvel Rachel ""Dandy"" Dandridge Zarek
Argumento: Steve Englehart - ‘John Harkness’ Roteiro: Mike Friedrich Arte: Alfredo Alcala Tradutor: Helcio de Carvalho Beatriz Malamud Editor original: Roy Thomas
Publicada originalmente em  Captain Marvel (1968) n° 35/1974 - Marvel Comics
       
Título original: ""Deadly genesis!"".",Captain Marvel,35,1974,"Mike Friedrich Arte:  Alfredo Alcala Tradutor:  Helcio de Carvalho,  Beatriz Malamud Editor original:  Roy Thomas
Publicada originalmente em   Captain Marvel (1968) n° 35/1974 - Marvel Comics
             
Título original: ""Deadly genesis!"".",NA,
82,Heróis da TV,17,1,Quem será Scorpio?,Nick Fury,Nick Fury Scorpio I S.H.I.E.L.D. Dum Dum Dugan Val de La Fontaine,"Nick Fury, Agent of S.H.I.E.L.D.",1,1968,Jim Steranko,Jim Steranko,NA
83,Heróis da TV,17,2,O Golfo dos Leões,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Punho de Lâmina I Velcro Black Jack Tarr Clive Reston Sir Nayland-Smith Dr. Petrie,Master of Kung Fu,30,1975,Doug Moench,Paul Gulacy,NA
84,Heróis da TV,17,3,Contos do Vigia,NA,NA,NA,NA,NA,NA,NA,NA
85,Heróis da TV,17,4,Quando os deuses enlouquecem,Thor,Thor Loki Mefisto Sif Balder Odin Grão-Vizir (Asgardiano) Fandral Hogun Volstagg Galactus,Thor,180,1970,Stan Lee,Neal Adams,
86,Heróis da TV,17,5,No reino de Mefisto,Thor,Thor Loki Mefisto Balder Sif Fandral Hogun Volstagg Odin Heimdall Grão-Vizir (Asgardiano),Thor,181,1970,Stan Lee,Neal Adams,
87,Heróis da TV,18,1,Era a noite antes do Natal,Nick Fury,Nick Fury S.H.I.E.L.D. Laura Brown Jasper Sitwell Monge do Ódio I,"Nick Fury, Agent of S.H.I.E.L.D.",10,1969,Gary Friedrich,Frank Springer,20 Páginas
88,Heróis da TV,18,2,A ameaça do Senhor dos Monstros,Homem de Ferro,Homem de Ferro Senhor dos Monstros Professor Watanabe Fujiko Watanabe,Iron Man,30,1970,Allyn Brodsky,Don Heck,19 Páginas
89,Heróis da TV,18,3,Os olhos do coração,"Vigia
Roteiro:  Stan Lee Desenho:  Howard Purcell Arte-Final:  Dan Adkins Editor original:  Stan Lee
Publicada originalmente em   Silver Surfer",Vigia,"Silver Surfer, The",7,1969,Stan Lee,Howard Purcell,9 Páginas
90,Heróis da TV,18,4,O enxame,Campeões,"Campeões Anjo Estrela Negra Hércules Homem de Gelo Motoqueiro Fantasma Viúva Negra II Enxame Ivan Petrovitch
Argumento: John Byrne Bill Mantlo Roteiro: Bill Mantlo Desenho: John Byrne Arte-Final: Mike Esposito - ‘Joe Gaudioso/Mickey Demeo’ Cores: Cleusa M. C. Acosta Letrista: Edison Gasparim Editor original: Archie Goodwin
Publicada originalmente em  Champions The (1975) n° 14/1977 - Marvel Comics
       
Título original: ""The creature called... Swarm!"".17 Páginas","Champions, The",14,1977,Bill Mantlo,John Byrne,17 Páginas
91,Heróis da TV,18,5,Inferno na fortaleza,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Clive Reston Black Jack Tarr Sir Nayland-Smith Velcro Pavane Punho de Lâmina I,Master of Kung Fu,31,1975,Doug Moench,Paul Gulacy,NA
92,Heróis da TV,19,1,"Quando a Lua surge, o cão do inferno mata!","Nick Fury
Roteiro:  Jim Steranko Desenho:  Jim Steranko Arte-Final:  Dan Adkins Cores:  Helcio de Carvalho Letrista:  Edison Gasparim Editor original:  Stan Lee
Publicada originalmente em   Nick Fury",Nick Fury,"Nick Fury, Agent of S.H.I.E.L.D.",3,1968,Jim Steranko,Jim Steranko,NA
93,Heróis da TV,19,2,O senhor das abelhas,Campeões,Campeões Anjo Estrela Negra Hércules Homem de Gelo Motoqueiro Fantasma Viúva Negra II Enxame,"Champions, The",15,1977,Bill Mantlo,John Byrne,
94,Heróis da TV,19,3,O fim das Indústrias Stark,Homem de Ferro,Homem de Ferro Espião Mestre Elite da Espionagem Kevin O' Brien Jasper Sitwell Hulk Thor Vespa Vingadores Doutor Destino Toupeira Capitão América Feiticeira Escarlate Mercúrio Nick Fury Homem-Formiga Kang O Conquistador Controlador S.H.I.E.L.D. Marya Perskiyov Samson Washington Farley London Godfried Herter Roger Philips Var-Larr Myrmidon Mecanóide,Iron Man,33,1971,Allyn Brodsky,Don Heck,18 Páginas
95,Heróis da TV,19,4,A noite das serpentes,Motoqueiro Fantasma,Motoqueiro Fantasma Roxanne Blaze Satã Sam Silvercloud Bart Slade Pele de Cobra,Marvel Spotlight,8,1973,Gary Friedrich,"Tom Sutton,  Mike Ploog",..The hordes of Hell! / The snakes crawl at night..
96,Heróis da TV,20,1,O monstro / O exilado / A busca / O poder,Surfista Prateado,Surfista Prateado Hulk Quarteto Fantástico Senhor Fantástico Mulher Invisível Coisa Tocha Humana II Namor O Príncipe Submarino Capitão Britânia (Capitão Bretanha) Super-Soldados Soviéticos Dínamo Escarlate V Estrela Negra Guardiã Vermelha Ursa Maior Vanguard Cavaleiro das Arábias Sabra Homem-Coletivo,"Incredible Hulk, The",250,1980,"Bill Mantlo Arte:  Sal Buscema Cores:  Rita de Carvalho Letrista:  Edison Gasparim Tradutor:  Helcio de Carvalho,  Beatriz Malamud Editor original:  Allen ""Al"" Milgrom,  Jim Shooter,  Mary Jo Duffy
Publicada originalmente em   Incredible Hulk, The (1968) n° 250/1980 - Marvel Comics
             
34 páginas (3 pgs / 10 pgs / 7 pgs / 14 pgs).Título original: ""The monster! / The exile / The quest! / The power"".34 Páginas",NA,34 Páginas
97,Heróis da TV,20,2,O invencível Vingador Dourado,Homem de Ferro,Homem de Ferro Wong-Chu Professor Yinsen,Iron Man,1,1968,Archie Goodwin,Gene Colan,NA
98,Heróis da TV,20,3,O Espião Mestre,Homem de Ferro,Homem de Ferro Espião Mestre Jasper Sitwell Nick Fury Kevin O' Brien Elite da Espionagem Madame Máscara (Whitney Frost) Janice Cord,Iron Man,34,1971,Allyn Brodsky,Don Heck,18 Páginas
99,Heróis da TV,20,4,A fuga de Rocco,"Vigia
Roteiro:  Stan Lee Desenho:  Howard Purcell Arte-Final:  John Tartaglione Cores:  Rita de Carvalho Letrista:  Edison Gasparim Tradutor:  Helcio de Carvalho",Vigia,"Silver Surfer, The",5,1969,Stan Lee,Howard Purcell,10 Páginas
100,Heróis da TV,20,5,Morte em alto-mar,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Clive Reston Black Jack Tarr Sir Nayland-Smith Dr. Petrie,Master of Kung Fu,32,1975,Doug Moench,Sal Buscema,18 Páginas
101,Heróis da TV,21,1,Sangue na neve,Punho de Ferro,Punho de Ferro Dentes-De-Sabre Colleen Wing Serpente de Aço Jeryn Hogarth Trovejante,Iron Fist,14,1977,Chris Claremont,John Byrne,NA
102,Heróis da TV,21,2,Vingança alucinada,Homem de Ferro,"Homem de Ferro Demolidor Nick Fury Espião Mestre Madame Máscara (Whitney Frost) Jasper Sitwell S.H.I.E.L.D. Dum Dum Dugan Kevin O' Brien Foggy Nelson Capricórnio Aquário Marianne (Marion) Rodgers Gabe Jones Sagitário Zodíaco Aríete (Andróide) Elite da Espionagem
Argumento: Gerry Conway Allyn Brodsky Roteiro: Gerry Conway Desenho: Don Heck Arte-Final: Mike Esposito - ‘Joe Gaudioso/Mickey Demeo’ Cores: Rita de Carvalho Letrista: Edison Gasparim Tradutor: Helcio de Carvalho Beatriz Malamud Editor original: Stan Lee
Publicada originalmente em  Iron Man (1968) n° 35/1971 - Marvel Comics 
                
                
                  n° 36/1971 - Marvel Comics
       
31 páginas (das 38 originais sendo que 4 páginas eram meia-páginas)Títulos originais: “Revenge!/...Among men stalks the Ramrod!”Diante do mortalmente ferido agente Sitwell o herói blindado jura vingança contra o Espião-Mestre sem saber que ele está a mando do Zodíaco. Mas o vingador dourado vai ter a ajuda do Demolidor Nick Fury e Madame Máscara!Nota: Em um incrível exemplo de picaretagem da Abril quem o Homem de Ferro enfrenta nas págs. 36 e 37 é o Espião-Mestre em vez de Sagitário!",Iron Man,35,1971,Gerry Conway,Don Heck,NA
103,Heróis da TV,21,3,Prisioneiro dos Trolls,Thor,Thor Asgardianos Sindri,Journey Into Mystery,108,1964,Stan Lee,Jack Kirby,
104,Heróis da TV,21,4,O senhor da loucura,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Mordillo Sir Nayland-Smith Leiko Wu Brynocki Black Jack Tarr Clive Reston,Master of Kung Fu,33,1975,Doug Moench,Paul Gulacy,
105,Heróis da TV,21,5,Um espião entre nós,Nick Fury,"Nick Fury S.H.I.E.L.D. Dum Dum Dugan Gabe Jones Jasper Sitwell Hidra Laura Brown Hidra Imperial (Hidra Supremo)
Argumento: Jack Kirby Roy Thomas Roteiro: Roy Thomas Desenho: Jim Steranko Arte-Final: Jim Steranko Layout: Jack Kirby Cores: Cleusa M. C. Acosta Letrista: Edison Gasparim Editor original: Stan Lee
Publicada originalmente em  Strange Tales (1951) n° 152/1967 - Marvel Comics
       
O Supremo Hidra se infiltra na S.H.I.E.L.D. disfarçado como um agente. Será que Nick Fury poderá detê-lo antes que seja tarde demais? Nota: Repare que o herói está mais magro neste episódio graças ao traço do desenhista Jim Steranko que começava a modificar sua aparência.Título original americano: “The hiding place!”.12 Páginas",Strange Tales,152,1967,Roy Thomas,Jim Steranko,NA
106,Heróis da TV,22,1,Prisioneiro do Doutor Destino,Thor,Thor Doutor Destino Harris Hobbs Balder Sif Odin,Thor,182,1970,Stan Lee,"John Buscema,  John Romita",O John Romita fez retoques no Don Blake em partes da história.
107,Heróis da TV,22,2,O Vigia deve morrer,"Vigia
Roteiro:  Stan Lee Arte:  George Tuska Cores:  Cleusa M. C. Acosta Letrista:  José Luiz Torres Pinto Tradutor:  Helcio de Carvalho",Vigia,Tales of Suspense,58,1964,"Stan Lee Arte:  George Tuska Cores:  Cleusa M. C. Acosta Letrista:  José Luiz Torres Pinto Tradutor:  Helcio de Carvalho,  Beatriz Malamud Editor original:  Stan Lee
Publicada originalmente em   Tales of Suspense (1959) n° 58/1964 - Marvel Comics
             
5 páginas.Título original: ""The Watcher must die"".",NA,
108,Heróis da TV,22,3,A ilha de Mórdilo,Shang-Chi - Mestre do Kung Fu,Shang-Chi - Mestre do Kung Fu Clive Reston Leiko Wu Sir Nayland-Smith Black Jack Tarr Mordillo Brynocki Velcro,Master of Kung Fu,34,1975,Doug Moench,Paul Gulacy,
109,Heróis da TV,22,4,A aurora dos deuses,Odin,Odin Surtur Ymir Tiwaz Borr Vili Bestla Gigantes de Gelo (Hrímthurs) Audumbla Ve (Deusa Nórdica) Asgardianos Aesir,Journey Into Mystery,97,1963,Stan Lee,Jack Kirby,NA
110,Heróis da TV,22,5,A luta pela vida,Homem de Ferro,Homem de Ferro Kevin O' Brien Marianne (Marion) Rodgers Happy Hogan Pepper Potts Aríete (Andróide) Foreman,Iron Man,37,1971,Gerry Conway,Don Heck,19 Páginas
111,Heróis da TV,23,1,A dama de ouro,Invasores,"Invasores Tocha Humana I Capitão América Namor O Príncipe Submarino Centelha Bucky
Argumento: Roy Thomas Desenho: Frank Robbins Arte-Final: Vince Colletta Cores: Rita de Carvalho Letrista: Edison Gasparim Editor original: Roy Thomas
Publicada originalmente em  Invaders The (1975) n° 1/1975 - Marvel Comics
       
Os Invasores encontram uma misteriosa e bela garota durante missão. Ela está desmemoriada e cabe aos nossos heróis descobrir sua verdadeira identidade.19 Páginas","Invaders, The",1,1975,NA,Frank Robbins,NA
112,Heróis da TV,23,2,O príncipe subterrâneo,Miss Marvel,"Miss Marvel Grotesko J. Jonah Jameson Frank Gianelli Peter Corbeau
Argumento: Chris Claremont Desenho: Jim Mooney Arte-Final: Joe Sinnott Cores: Rita de Carvalho Letrista: Edison Gasparim Editor original: Archie Goodwin
Publicada originalmente em  Ms. Marvel (1977) n° 6/1977 - Marvel Comics
       
17 páginas.",Ms. Marvel,6,1977,NA,Jim Mooney,NA
113,Heróis da TV,23,3,Os Gigantes de Gelo,Odin,Odin Ymir Gigantes de Gelo (Hrímthurs),Journey Into Mystery,98,1963,Stan Lee,Jack Kirby,NA
114,Heróis da TV,23,4,O ataque do Devastador,Nick Fury,"Nick Fury S.H.I.E.L.D. Dum Dum Dugan Laura Brown Gabe Jones Hidra Imperial (Hidra Supremo) Jasper Sitwell Hidra Desmond Boothroyd Devastador
Argumento: Jim Steranko Roteiro: Roy Thomas Desenho: Jim Steranko Arte-Final: Jim Steranko Cores: Cleusa M. C. Acosta Letrista: Edison Gasparim Editor original: Stan Lee
Publicada originalmente em  Strange Tales (1951) n° 154/1967 - Marvel Comics
       
12 páginas.",Strange Tales,154,1967,Roy Thomas,Jim Steranko,NA
115,Heróis da TV,23,5,Armadilha mortal,Nick Fury,Nick Fury S.H.I.E.L.D. Hidra Dum Dum Dugan Gabe Jones Laura Brown Jasper Sitwell Hidra Imperial (Hidra Supremo) Lyndon Johnson,Strange Tales,155,1967,Jim Steranko,"Jim Steranko Cores:  Cleusa M. C. Acosta Letrista:  Edison Gasparim
Publicada originalmente em   Strange Tales (1951) n° 155/1967 - Marvel Comics
             
12 Páginas",NA
116,Heróis da TV,23,6,"Sol, a fonte da morte",Shang-Chi - Mestre do Kung Fu,"Shang-Chi - Mestre do Kung Fu Leiko Wu Clive Reston Mordillo Black Jack Tarr Pavane Brynocki
Argumento: Doug Moench Desenho: Paul Gulacy Arte-Final: Dan Adkins Cores: Rita de Carvalho Letrista: Edison Gasparim Editor original: Marv Wolfman
Publicada originalmente em  Master of Kung Fu (1974) n° 35/1975 - Marvel Comics
       
18 páginas.",Master of Kung Fu,35,1975,NA,Paul Gulacy,NA
117,Heróis da TV,24,1,Para salvar a humanidade,Surfista Prateado,Surfista Prateado Estranho Al Harper Tocha Humana II Senhor Fantástico Coisa Quarteto Fantástico X-Men Feiticeira Escarlate Magneto Mercúrio Anjo Homem de Gelo Fera Irmandade de Mutantes Groxo Mestre Mental,"Silver Surfer, The",5,1969,Stan Lee,John Buscema,..And who shall mourn for him?
118,Heróis da TV,24,2,Pesadelo,Miss Marvel,Miss Marvel Modok I.M.A. - Idéias Mecânicas Avançadas Salia Petrie,Ms. Marvel,7,1977,Chris Claremont,Jim Mooney,17 Páginas
119,Heróis da TV,24,3,Corações cegos,"Shang-Chi - Mestre do Kung Fu
Roteiro:  Doug Moench Desenho:  Ron Wilson Arte-Final:  Mike Esposito - ‘Joe Gaudioso/Mickey Demeo’ Cores:  Rita de Carvalho Letrista:  Edison Gasparim Editor original:  Roy Thomas
Publicada originalmente em   Giant-Size Master of Kung Fu (1974) n° 1/1974 - Marvel Comics
             
Título original: ""Reflections in a rippled pool"".8 Páginas",Shang-Chi - Mestre do Kung Fu,Giant-Size Master of Kung Fu,1,1974,Doug Moench,Ron Wilson,8 Páginas
120,Heróis da TV,24,4,O crepúsculo dos deuses,Invasores,Invasores Capitão América Centelha Namor O Príncipe Submarino Tocha Humana I Bucky Dreno Mental,"Invaders, The",2,1975,Roy Thomas,Frank Robbins,18 Páginas
121,Heróis da TV,25,1,A origem do Homem de Ferro,Homem de Ferro,Homem de Ferro Wong-Chu Professor Yinsen,Iron Man,47,1972,Roy Thomas,Barry Windsor-Smith,"Tony Stark relembra seu passado, quando foi capturado por guerrilheiros: ferido no coração e obrigado a trabalhar na oficina dos bandidos, o industrial inventor criou uma armadura para que seu músculo cardíaco continuasse batendo e, ao mesmo tempo, fugir do cativeiro. 19 páginas (das 21 originais)."
122,Heróis da TV,25,2,A vitória do inimigo,Nick Fury,Nick Fury S.H.I.E.L.D. Laura Brown Jasper Sitwell Dum Dum Dugan Gabe Jones Hidra Hidra Imperial (Hidra Supremo) Barão Strucker,Strange Tales,156,1967,Jim Steranko,"Jim Steranko Cores:  Rita de Carvalho Letrista:  Edison Gasparim Editor original:  Stan Lee
Publicada originalmente em   Strange Tales (1951) n° 156/1967 - Marvel Comics
             
12 Páginas",NA
123,Heróis da TV,25,3,O último pôr-do-sol,Miss Marvel,Miss Marvel Frank Gianelli Grotesko Mike Barnett Tracy Burke,Ms. Marvel,8,1977,Chris Claremont,Jim Mooney,NA
124,Heróis da TV,25,4,O Gato,Shang-Chi - Mestre do Kung Fu,"Shang-Chi - Mestre do Kung Fu Sir Nayland-Smith Leiko Wu Gato
Argumento: Doug Moench Paul Gulacy Roteiro: Doug Moench Desenho: Paul Gulacy Arte-Final: Dan Adkins Letrista: Edison Gasparim Editor original: Marv Wolfman
Publicada originalmente em  Master of Kung Fu (1974) n° 38/1976 - Marvel Comics 
                
                
                  n° 39/1976 - Marvel Comics
       
35 páginas. Título original americano: “Cat”. Shang Chi é enviado por Sir Denis a Hong Kong para resgatar Juliette a bela agente do MI-6 que está sob a vigilância do Gato um mestre de artes marciais orientais tão habilidoso quanto ele...Nota: Steranko não é creditado mas ele realmente finalizou a 14a. página desta história.",Master of Kung Fu,38,1976,Doug Moench,Paul Gulacy,NA
125,Heróis da TV,26,1,Morte na Lua,Capitão Marvel,"Capitão Marvel Rick Jones Vigia Homem-Formiga Vespa Mordecai Boggs Jarvis Aniquilador Legião Lunática Zarek Rachel ""Dandy"" Dandridge
Argumento: Allen ""Al"" Milgrom Steve Englehart - ‘John Harkness’ Roteiro: Steve Englehart - ‘John Harkness’ Desenho: Allen ""Al"" Milgrom Arte-Final: Klaus Janson Cores: Rita de Carvalho Letrista: Edison Gasparim Tradutor: Jotapê Martins Helcio de Carvalho Editor original: Roy Thomas
Publicada originalmente em  Captain Marvel (1968) n° 37/1975 - Marvel Comics
       
Uma colega de turnê entrega a Rick uma cápsula a qual se refere modestamente como ”Vitamina C”. Quando o jovem troca de lugar com seu parceiro voltando a ficar à deriva na Zona Negativa ele engole o comprimido e começa a ter alucinações; enquanto isso o queixo de Mar-Vell começa a formigar e seus arredores começam a parecer um desenho de Escher. Quando o Vigia surge e ataca o Capitão nosso herói começa a suar frio.Título original: ""Lift-off!"".18 Páginas",Captain Marvel,37,1975,Steve Englehart - ‘John Harkness’,"Allen ""Al"" Milgrom",18 Páginas
126,Heróis da TV,26,2,Dominado pelos Krees,Capitão Marvel,"Capitão Marvel Rick Jones Vigia Legião Lunática Zarek
Argumento: Allen ""Al"" Milgrom Steve Englehart - ‘John Harkness’ Roteiro: Steve Englehart - ‘John Harkness’ Desenho: Allen ""Al"" Milgrom Arte-Final: Klaus Janson Cores: Rita de Carvalho Letrista: Edison Gasparim Tradutor: Jotapê Martins Helcio de Carvalho Editor original: Len Wein
Publicada originalmente em  Captain Marvel (1968) n° 38/1975 - Marvel Comics
       
Afetado pelas drogas o Capitão enfrenta novos perigos. Felizmente ele e Rick recuperam a sanidade. O herói enaltece Rick por ter expandido a mente. As drogas psicodélicas elevaram ainda mais a “consciência cósmica”; tudo termina de boa. Esta história subversiva (e a anterior) foi publicada devido a desatenção editorial da Marvel.Título original ""... No way out!"".18 Páginas",Captain Marvel,38,1975,Steve Englehart - ‘John Harkness’,"Allen ""Al"" Milgrom",.. No way out!
127,Heróis da TV,26,3,"Domingo negro, tarde fatal",Punho de Ferro,Punho de Ferro Colleen Wing Chris Claremont Mestre Khan,Marvel Premiere,24,1972,Chris Claremont,Pat Broderick Arte:  Marie Severin,18 Páginas
128,Heróis da TV,26,4,A infância de Thor,Thor,Thor Loki,Journey Into Mystery,113,1965,Stan Lee,Jack Kirby,5 Páginas
129,Heróis da TV,26,5,O encontro final,Nick Fury,Nick Fury Barão Strucker Laura Brown Hidra Jasper Sitwell Gabe Jones Dum Dum Dugan,Strange Tales,157,1967,Jim Steranko,"Jim Steranko Cores:  Rita de Carvalho Letrista:  José Luiz Torres Pinto Editor original:  Stan Lee
Publicada originalmente em   Strange Tales (1951) n° 157/1967 - Marvel Comics
             
Título original: “Crisis!”.12 Páginas",NA
130,Heróis da TV,26,6,A morte de Nick Fury,Nick Fury,Nick Fury Barão Strucker Hidra Laura Brown,Strange Tales,158,1967,Jim Steranko,"Jim Steranko Cores:  Rita de Carvalho Letrista:  José Luiz Torres Pinto Editor original:  Stan Lee
Publicada originalmente em   Strange Tales (1951) n° 158/1967 - Marvel Comics
             
Título original: “Final encounter!”.12 Páginas",NA
